text,label
Congratulations! You've won a $1000 gift card,1
Win a free iPhone now,1
Meeting today at 5 PM,0
Let's have lunch tomorrow,0
Earn money from home easily,1
Important project deadline tomorrow,0
Limited offer just for you,1
Your invoice is attached,0
Get cheap meds online,1
Are you coming to the meeting tomorrow?,0
Claim your free vacation now,1
Your bank account statement is ready,0
Work from home and earn $500 per day,1
Dinner at 8 PM tonight,0
"This is not spam, just a reminder for your class",0
You have been selected for a lucky draw,1
Can we reschedule our call to 3 PM?,0
Lowest prices guaranteed only today,1
